dialect,standard,region
데불고가라,데리고가라,경상도
뎅장찌개,된장찌개,경상도
도가,막걸리파는집,경상도
도구통,절구통,경상도
도꾸,도끼,경상도
도찌,도끼,경상도
도래,도라지,경상도
도롯,돌이끼,경상도
도배다,훔치다,경상도
도치,도끼,경상도
독새,독사,경상도
독새뱀,독사,경상도
돌가리,시멘트,경상도
돌가지,도라지,경상도
돌개,도라지,경상도
돌개바람,회오리바람,경상도
돌디이,돌덩이,경상도
돌삐,돌,경상도
돌삐이,돌,경상도
동글배이,동그라미,경상도
동글뱅이,동그라미,경상도
동솥,국솥,경상도
동우,동이,경상도
동태,바퀴,경상도
동테,굴렁쇠,경상도
두디,포대기,경상도
두디이,포대기,경상도
두디기,포대기,경상도
두리가다,데리고가다,경상도
두루가다,데리고가다,경상도
뒤비다,뒤집다,경상도
뒤엄,두엄,경상도
득기,듯이,경상도
들쌀대다,떠들다,경상도
등걸,말라빠진나무그루터기,경상도
고지베이,말라빠진나무그루터기,경상도
디다,고되다,경상도
디게,매우,경상도
딩기,겨,경상도
따까리,뚜껑,경상도
따배이,똬리,경상도
따하다,이기다,경상도
땀떼기,땀띠,경상도
때기,딱지,경상도
땡강,난동,경상도
땡비,땅벌,경상도
떼기,딱지,경상도
떼때,방아깨비수컷,경상도
뜨럭,뜰,경상도
뜨레박,두레박,경상도
뜨리박,두레박,경상도
뜨시다,따뜻하다,경상도
뜸질,찜질,경상도
띵가먹다,떼어먹다,경상도
마,남쪽,경상도
마디다,깐깐하다,경상도
마리,마루,경상도
마실,마을,경상도
마실게,마을에,경상도
마이,많이,경상도
마파람,남쪽바람,경상도
막디이,막둥이,경상도
막카,모두,경상도
만데이,꼭대기,경상도
말기다,말리다,경상도
말래이,산꼭대기,경상도
산말래이,산꼭대기,경상도
말레이,고갯마루,경상도
망새이,망아지,경상도
맞촤다,맞추다,경상도
매꼬자,밀짚모자,경상도
매나끈,알아듣게,경상도
매낙근,알아듣게,경상도
매란이다,마련이다,경상도
매레이,매미,경상도
메리이,매미,경상도
매매,단단히,경상도
맥지,괜히,경상도
백지,괜히,경상도
맨날,매일,경상도
맵포하다,매운맛이약간있다,경상도
맹글다,만들다,경상도
맹태,명태,경상도
머게이,모기,경상도
머구릿배,잠수장비선박,경상도
머스마,남자,경상도
머시마,남자,경상도
머이,먼저,경상도
먹어여,먹는다,경상도
멍,망태기,경상도
메띠기,메뚜기,경상도
멜띠기,메뚜기,경상도
메레치,멸치,경상도
메리치,멸치,경상도
모숭구다,모내기하다,경상도
모가치,몫,경상도
모개이,모기,경상도
모갱이,모기,경상도
모구,모기,경상도
모시,모이,경상도
모티,모퉁이,경상도
모티이,모퉁이,경상도
모팅이,모퉁이,경상도
몰,모자반,경상도
몰개,모래,경상도
몸띠이,몸뚱이,경상도
못나이,못난이,경상도
몽디이,몽둥이,경상도
묏밭,비탈밭,경상도
무꾸,무,경상도
무디기,무더기,경상도
무디,무더기,경상도
무디이,무더기,경상도
무딩이,무더기,경상도
무리,오이,경상도
무재주,물뱀,경상도
묵다,먹다,경상도
문지,먼지,경상도
물이,오이,경상도
뭐되다,관계있다,경상도
뭐주소,여기좀봅시다,경상도
미기,메기,경상도
미물,메밀,경상도
미주,메주,경상도
밍,어린목화,경상도
밑두방치,밑바탕,경상도
바가치,바가지,경상도
바꾸,바퀴,경상도
바쁘제,보자기,경상도
바우,바위,경상도
바우옷,돌이끼,경상도
바키,바퀴,경상도
반질,바느질,경상도
반질당시개,반짓고리,경상도
밤새드락,밤새도록,경상도
밤시이,성게,경상도
밥떠끼리,밥알,경상도
밥부재,보자기,경상도
방구,바위,경상도
방티,고무대야,경상도
배막디이,막디이보다더심한사람,경상도
배얌,뱀,경상도
배차짠지,무이파리김치,경상도
버르재이,버르장이,경상도
버르쟁이,버르장이,경상도
버르장머리,버르장이,경상도
버지,물담는통,경상도
버지기,큰옹기,경상도
버큼,거품,경상도
벌개이,벌레,경상도
벌갱이,벌레,경상도
벌이,벌,경상도
보리딸,복분자,경상도
보살,보리쌀,경상도
보이소,여보세요,경상도
보소,여보세요,경상도
보소마,여보세요,경상도
보라카이,여보세요,경상도
보라캉께네,여보세요,경상도
볼려,절대로,경상도
볼실하다,버릇하다,경상도
봉다리,봉지,경상도
부떠막,부뚜막,경상도
부루,상추,경상도
부석,무엌,경상도
아궁이,부석,경상도
부작때이,부지깽이,경상도
불살개,불쏘시개,경상도
불여시,불여우,경상도
비다,베다,경상도
비루빡,벽,경상도
비알,비탈,경상도
빌박,벽,경상도
빗재이,빚쟁이,경상도
빠마대기,뺨,경상도
빵구,구멍,경상도
빵께이산다,소꿉장난한다,경상도
빼,뼈,경상도
빼마리,뺨,경상도
뺀데기,뺨,경상도
뻘사이,구두쇠,경상도
뻣득하머,걸핏하면,경상도
뽈지,박쥐,경상도
뽑삐,삘기,경상도
삠삐,삘기,경상도
뿌다,버리다,경상도
뿌솨라,부숴라,경상도
뿌솨뿔다,부숴버리다,경상도
뿌수다,부수다,경상도
삐까리,낫가리,경상도
삐덜키,비둘기,경상도
삐데다,밟다,경상도
삐딱,비탈,경상도
삐지다,토라지다,경상도
삔깔로,뼘으로,경상도
끼즐로,뼘으로,경상도
사게이,억새,경상도
사암,싸움,경상도
삭다리,삭정이,경상도
산만데이,산꼭대기,경상도
산비알,산비탈,경상도
살,쌀,경상도
살무새,살무사,경상도
살양말,스타킹,경상도
삼동초,유채,경상도
삼시블,쌍가풀,경상도
삽작,대문,경상도
삽지껄,집앞골목,경상도
상구,계속해서,경상도
상그랍다,두렵다,경상도
상방,부엌딸린방,경상도
새,동쪽,경상도
새,혀,경상도
새그랍다,시다,경상도
새미,샘,경상도
새비,새우,경상도
새야,형님,경상도
샛마파람,남동풍,경상도
샛바람,동풍,경상도
서숙,조,경상도
선나,조금,경상도
선남,조금,경상도
썬남,조금,경상도
선낫,조금,경상도
성,형,경상도
세이,송이,경상도
소랑,쇠스랑,경상도
소곰,소금,경상도
소기기,소나기,경상도
소두비,솥뚜껑,경상도
소디비,솥뚜껑,경상도
소풀,부추,경상도
속세,씀바귀,경상도
속캐,솜,경상도
솔나무,소나무,경상도
솔방구리,솔방울,경상도
솟빵울,솔방울,경상도
송구,송기,경상도
송구대,송기,경상도
송아치,송아지,경상도
송쿠,송기,경상도
쇳대,열쇠,경상도
싯대,열쇠,경상도
수금포,삽,경상도
수꾸,수수,경상도
수꿋대비,수숫대,경상도
수낏대,수수깡,경상도
수루지꺼,수수께끼,경상도
숨캅시더,숨겨두었습니다,경상도
숭,흉,경상도
숭구다,심다,경상도
숭냥,숭늉,경상도
숭년,흉년,경상도
시,형,경상도
세이,형,경상도
시그럽다,시다,경상도
시럽다,스럽다,경상도
시아,형,경상도
식겁하다,기겁하다,경상도
식아뿐다,식어버린다,경상도
실무시,슬며시,경상도
실참,새참,경상도
심,힘,경상도
심더,습니다,경상도
심시막끔,제각각,경상도
심지,수염,경상도
싱키다,감추다,경상도
쌍스럽다,상스럽다,경상도
쌓다,댄다,경상도
쌔끼,새끼,경상도
쌔비렀다,흔하다,경상도
쌔비따,흔하다,경상도
쌔빈다,흔하다,경상도
쌩깔,성깔,경상도
쌩나무,생나무,경상도
쎄,혀,경상도
쏙다,속다,경상도
쏙이다,속이다,경상도
쑥개,수캐,경상도
쑹,흉,경상도
씨나락,볍씨,경상도
씨다,쓰다,경상도
씬나락,볍씨,경상도
씰개,쓸개,경상도
아래,그저께,경상도
아물따나,아무렇게나,경상도
아방신이다,쌤통이다,경상도
아부지,아버지,경상도
아이래,아니다,경상도
아제,아저씨,경상도
아지래이,아지랑이,경상도
아지메,아주머니,경상도
아지멘가,아주머니오셨어요,경상도
안주,아직,경상도
안주까지,아직까지,경상도
알라,아기,경상도
알매이,알맹이,경상도
알분시럽다,알려고하다,경상도
애저녁,이른저녁,경상도
앵가이,어지간히,경상도
앵기다,안겨라,경상도
야물딱지다,야무지다,경상도
야무락지다,야무지다,경상도
야시,여우,경상도
얌퉁머리,얌통머리,경상도
얌똥머리,얌통머리,경상도
얍삽하다,간사스럽다,경상도
양발,양말,경상도
양석,양식,경상도
어대요,아니요,경상도
어데예,아니요,경상도
어디어디,좌측으로돌라는지시,경상도
어매,어머니,경상도
어메,어머니,경상도
어무이,어머니,경상도
어머이,어머니,경상도
어예,어요,경상도
어지,어제,경상도
억머구리,두꺼비,경상도
엉머구리,두꺼비,경상도
언지예,아닙니다,경상도
은지예,아니요,경상도
얼거미,어레미,경상도
엇쩌게,어제저녁,경상도
에나,정말,경상도
에나가,정말인가,경상도
여사로,쉽게,경상도
여시,여우,경상도
연치,여치,경상도
옇다,넣다,경상도
예끼,여우,경상도
오니,술래,경상도
오배다,훔치다,경상도
오분순타,내용이알차다,경상도
오올,오늘,경상도
오익가다,가출하다,경상도
오지게,호되게,경상도
옥쑤시,옥수수,경상도
옹가지,작은옹기,경상도
옹구,옹기,경상도
와,왜,경상도
와그라는데,왜그러는데,경상도
와카노,왜그러니,경상도
와여,온다,경상도
와이라노,왜이러냐,경상도
와이카노,왜이러냐,경상도
와이케,왜이러는데,경상도
왕밤시이,성게,경상도
우,위,경상도
우구리다,접다,경상도
우무,우뭇가사리,경상도
